Comment,Designator,Footprint,LCSC,Quantity
100nF,"C1,C2",C_0603_1608Metric,C14663,2
1N4148W,"D1,D10,D11,D12,D13,D14,D15,D16,D2,D3,D4,D5,D6,D7,D8,D9",D_SOD-123,C81598,16
CherryMX,MX5,SW_Cherry_MX_1.00u_PCB,,1
CherryMX,MX16,SW_Cherry_MX_1.00u_PCB,,1
CherryMX,MX15,SW_Cherry_MX_1.00u_PCB,,1
CherryMX,MX14,SW_Cherry_MX_1.00u_PCB,,1
CherryMX,MX13,SW_Cherry_MX_1.00u_PCB,,1
CherryMX,MX12,SW_Cherry_MX_1.00u_PCB,,1
CherryMX,MX11,SW_Cherry_MX_1.00u_PCB,,1
CherryMX,MX10,SW_Cherry_MX_1.00u_PCB,,1
CherryMX,MX9,SW_Cherry_MX_1.00u_PCB,,1
CherryMX,MX8,SW_Cherry_MX_1.00u_PCB,,1
CherryMX,MX7,SW_Cherry_MX_1.00u_PCB,,1
CherryMX,MX6,SW_Cherry_MX_1.00u_PCB,,1
CherryMX,MX4,SW_Cherry_MX_1.00u_PCB,,1
CherryMX,MX3,SW_Cherry_MX_1.00u_PCB,,1
CherryMX,MX2,SW_Cherry_MX_1.00u_PCB,,1
TS-1178A,SW1,SW_Push_1P1T_XKB_TS-1187A,,1
CH32V003FxPx,U1,TSSOP-20_4.4x6.5mm_P0.65mm,,1
Conn_01x05_Pin,J1,PinHeader_1x05_P1.27mm_Vertical,,1
CherryMX,MX1,SW_Cherry_MX_1.00u_PCB,,1
